1	6.915265	5.776305
2	6.750192	6.073351
3	7.275463	6.107869
5	7.106684	6.687963
6	7.066993	6.266985
7	7.170558	6.06195
8	6.739708	6.214471
9	9.204799	12.495861
10	6.668998	6.630542
11	6.715073	6.324491
12	7.000378	5.900245
13	6.85289	5.776141
14	6.757863	6.053367
15	6.656253	6.383386
16	7.098252	6.341329
17	7.08999	4.839764
18	6.333384	8.100986
19	6.614648	5.98604
20	6.64394	6.23432
21	8.900166	11.367044
22	7.09591	6.30945
23	4.785153	7.007103
24	6.73273	5.38989
25	7.551059	6.233854
26	6.941167	5.984666
27	6.691802	6.197991
28	6.34055	5.628319
29	6.198582	6.729412
30	6.653695	6.265526
31	6.520001	6.216831
32	6.80137	6.2411
33	7.0518	6.287
35	6.750533	6.466727
37	7.198234	6.002813
38	7.197979	6.003327
40	6.58933	6.09165
41	6.963402	5.915587
42	9.06433	7.4893
43	6.78333	6.6
44	6.57593	5.92991
45	7.184013	5.583773
46	6.77927	6.10865